Name,Stars,Rewatch,Review
fortunately_eve,★★★★★,Watched,Nothing is like this
gremista_,★★★★,Watched,"é sobre esse filme me fazer chorar no final toda vez que eu vejo, apesar de ser demorado e dificil de entender vai ser com certeza um dos filmed mais bem produzidos que eu ja vi"
rafaaelaaap,★★★★½,Watched,"Tendrá como 73838282881 agujeros en el guion peroMe destruye cada vez que la veo , es cine , es arte"
talyyice,★★★★★,Watched,pase d ver a matthew cmo un lobo d wall street al papá q tdo el mundo quisiera tener fr
_n1ck,★★★★★,Watched,m vine
pbloo,★★★★★,Watched,"Agora que conheço esse aplicativo e ""paguei"" um curso dele, eu consigo tentar descrever o meu fascínio por este filme. Com o relançamento em setembro, em comemoração aos 10 anos, não pude perder a oportunidade de re-assistir e depois ver nas telonas (tem alguém que está devendo assistir esse filme e isso também é um convite).Este filme me apresentou ao trabalho de Nolan. Não é necessário se aprofundar no elenco impecável, mas o que o McConaughey, a Hathaway e…"
mikecrn23,★★★★★,Watched,SI PUDIERA LE PONDRIA 6 ESTRELLAS A ESTA MADRE NO ME CANSO DE MIRARLA
estxfy,★★★★★,Watched,"VETE ALV PINCHE PELICULOOOON, nomas los 30-20 minutos del final faaaaak, se me erizaron los pelos de todo el cuerpo"
clairestafford,★★★★★,Watched,Cinematic Masterpiece. Need I say more
ash_aos,★★★★½,Watched,"Mon nolan préféré je pense. Ultra matrixant quand j'étais plus jeune, trop emouvant matrixant etc. Matthew mcconaughey est ultra crédible, les autres acteurs aussi!"
heresean1127,★★★★★,Watched,This movie is peak for me because I love crazy sci-fi conceptual things like that but also my wife and I got so close over our love for this movie so it holds a special place in my heart has to be five stars Jesus Christ that’s Jason Bourne.
moistkupcake,★★★★★,Watched,Simply incredible. If you're not fighting tears during this movie you have no soul.
claytonallen123,★★★★★,Watched,Top 10 all time movie.
thetaxevader,★★★★★,Watched,"I took AP Physics, so if we ever run out of Okra, I’ll probably be in contact with some space ghosts."
andonionov,★★★★★,Watched,roba inconcepibile. commovente triste ma allo stesso tempo epico. mi ha tenuto incollato nonostante durasse 3 ore.la parte rappresenta me durante le lezioni di fisica
aliln,★★★,Watched,pas le meilleur de nolan j’ai l’impression même si il est bien il faut s’y accrocher
kasia_owczarek,★★★★★,Watched,fresh review right after watching so i’m still in the nolan zimmer awe but this was such an insane movie why was it so good man
taybuch,★★★★★,Watched,holy shit
alyssarein,★★,Watched,"There were some aspects of this movie that I liked, but overall on a second watch I feel like it's trying too hard to be smart. The characters are only secondary to the buzzwordy scifi jargon, and the plot suffers because of it. A movie being complex doesn't necessarily make it good, and a lot of the plot in this movie has a ""wait run that by me one more time"" energy that demands a lot out of an audience…"
samuellovesmovi,★★★★½,Watched,"Väldigt bra film. Varför? Ljud bra, 4k video, bra skådespelare. Råkar vara så att jag tittar på den nu faktiskt :). Olof gillar inte filmen men jag menar på att den har ett djupare syfte då man kan se den flera gånger och få olika synvinklar. (Typ som Harry Potter med Snaipe)"
space_heathen,★★★★★,Watched,works every damn time. ❤️
tladwein,★★★★½,Watched,The visuals made me climax.
lucvai,★★★★★,Watched,Crying screaming dissolving
elleanarose,★★★★,Watched,Matt Damon just looks evil
nais_tgn,★★★★★,Watched,Incroyable
pziqute,★★★★,Watched,"it was hard, my brain exploded"
bttfuture,★★★★,Watched,Watched half of this in Earth and Space Class and the other at home with every bodily fluid possible leaking out of me
feelingvsorry,★★★★★,Watched,"Por favor q peli de la san buta, es lo mejor q hizo el salame de Nolan en toda su vida"
mistawhite05,★★★★★,Watched,"The best sci-fi movie of all time.The plot is perfect, soundtrack is majestic, no pacing issues at allAnd full of emotionNolan is possibly the best director of this century"
